tic,gic_sub_industry,gic_industry,gic_group,gic_sector,naics_industry,naics_group,naiscs_sector,sic_industry,sic_group,sic_sector
NOC,20101010,201010,2010,20,334511,3345,33,3812,381,38
TEX,20106010,201060,2010,20,333923,3339,33,3530,353,35
NWN,55102010,551020,5510,55,221210,2212,22,4924,492,49
NWE,55103010,551030,5510,55,22111,2211,22,4931,493,49
WFC,40101010,401010,4010,40,522110,5221,52,6020,602,60
NUE,15104050,151040,1510,15,331110,3311,33,3312,331,33
OXY,10102010,101020,1010,10,2111,2111,21,1311,131,13
OII,10101020,101010,1010,10,213112,2131,21,1389,138,13
ITI,45203010,452030,4520,45,541330,5413,54,8711,871,87
VTOL,10101020,101010,1010,10,481211,4812,48,4522,452,45
FE,55101010,551010,5510,55,22111,2211,22,4911,491,49
ODC,30301010,303010,3030,30,327992,3279,32,3290,329,32
OGE,55101010,551010,5510,55,2211,2211,22,4931,493,49
OLN,15101010,151010,1510,15,325180,3251,32,2810,281,28
OLP,60101010,601010,6010,60,531120,5311,53,6798,679,67
OKE,10102040,101020,1010,10,221210,2212,22,4923,492,49
OTTR,55101010,551010,5510,55,22111,2211,22,4911,491,49
OSG,10102040,101020,1010,10,483111,4831,48,4412,441,44
OMI,35102010,351020,3510,35,423450,4234,42,5047,504,50
OC,20102010,201020,2010,20,327993,3279,32,3290,329,32
OI,15103010,151030,1510,15,327213,3272,32,3221,322,32
OXM,25203010,252030,2520,25,315,315,31,2300,230,23
PNC,40101015,401010,4010,40,522110,5221,52,6020,602,60
PPG,15101050,151010,1510,15,325510,3255,32,2851,285,28
PCAR,20106010,201060,2010,20,336120,3361,33,3711,371,37
PCG,55101010,551010,5510,55,2211,2211,22,4931,493,49
SRE,55103010,551030,5510,55,22111,2211,22,4931,493,49
PAR,45203010,452030,4520,45,334118,3341,33,3578,357,35
PKE,20101010,201010,2010,20,334412,3344,33,3672,367,36
PKOH,20106020,201060,2010,20,423710,4237,42,5072,507,50
PH,20106020,201060,2010,20,332912,3329,33,3490,349,34
PATK,25101010,251010,2510,25,336390,3363,33,3714,371,37
GDP,10102020,101020,1010,10,211130,2111,21,1311,131,13
PAYX,45102020,451020,4510,45,541214,5412,54,8721,872,87
AFG,40301030,403010,4030,40,524126,5241,52,6331,633,63
PVAC,10102020,101020,1010,10,2111,2111,21,1311,131,13
PPL,55101010,551010,5510,55,2211,2211,22,4911,491,49
PNR,20106020,201060,2010,20,333914,3339,33,3561,356,35
PEP,30201030,302010,3020,30,31211,3121,31,2080,208,20
TPC,20103010,201030,2010,20,236220,2362,23,1540,154,15
PDCE,10102020,101020,1010,10,211120,2111,21,1311,131,13
PFE,35202010,352020,3520,35,325412,3254,32,2834,283,28
EXC,55101010,551010,5510,55,22111,2211,22,4911,491,49
WTRG,55104010,551040,5510,55,221310,2213,22,4941,494,49
MO,30203010,302030,3020,30,312230,3122,31,2111,211,21
COP,10102020,101020,1010,10,2111,2111,21,1311,131,13
PVH,25203010,252030,2520,25,315,315,31,2300,230,23
SENEA,30202030,302020,3020,30,311421,3114,31,2033,203,20
AGYS,45103010,451030,4510,45,511210,5112,51,7372,737,73
PIPR,40203020,402030,4020,40,523120,5231,52,6211,621,62
PBI,20201060,202010,2020,20,333318,3333,33,3579,357,35
POLY,45201020,452010,4520,45,334210,3342,33,3661,366,36
PCH,60101080,601010,6010,60,321113,3211,32,2421,242,24
POWL,20104010,201040,2010,20,335313,3353,33,3613,361,36
PG,30301010,303010,3030,30,325611,3256,32,2840,284,28
PNM,55101010,551010,5510,55,2211,2211,22,4911,491,49
PEG,55103010,551030,5510,55,22111,2211,22,4931,493,49
PHM,25201030,252010,2520,25,236117,2361,23,1531,153,15
PCYO,55104010,551040,5510,55,221310,2213,22,4950,495,49
AGX,20103010,201030,2010,20,541330,5413,54,8711,871,87
KWR,15101050,151010,1510,15,324191,3241,32,2990,299,29
NXGN,35103010,351030,3510,35,511210,5112,51,7372,737,73
QMCO,45202030,452020,4520,45,334112,3341,33,3572,357,35
RJF,40203020,402030,4020,40,523120,5231,52,6211,621,62
RES,10101020,101010,1010,10,213112,2131,21,1389,138,13
RPM,15101050,151010,1510,15,325998,3259,32,2890,289,28
USLM,15102010,151020,1510,15,212312,2123,21,1400,140,14
RAVN,20105010,201050,2010,20,326113,3261,32,3080,308,30
RBC,20104010,201040,2010,20,335312,3353,33,3621,362,36
RGS,25302020,253020,2530,25,812112,8121,81,7200,720,72
AN,25504050,255040,2550,25,441110,4411,44,5500,550,55
RAD,30101010,301010,3010,30,446110,4461,44,5912,591,59
