gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,revt,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
008272,20211231,2021,INDL,C,D,STD,SRE,SEMPRA ENERGY,USD,12857.0000,0001032208,A,5510,551030,55,55103010,22111,4931
008348,20210228,2020,INDL,C,D,STD,PKE,PARK AEROSPACE CORP,USD,46.2760,0000076267,A,2010,201010,20,20101010,334412,3672
008386,20211231,2021,INDL,C,D,STD,PATK,PATRICK INDUSTRIES INC,USD,4078.0920,0000076605,A,2510,251010,25,25101010,336390,3714
008455,20211231,2021,INDL,C,D,STD,PPL,PPL CORP,USD,5811.0000,0000922224,A,5510,551010,55,55101010,2211,4911
008463,20211231,2021,INDL,C,D,STD,PNR,PENTAIR PLC,USD,3764.8000,0000077360,A,2010,201060,20,20106020,333914,3561
008479,20211231,2021,INDL,C,D,STD,PEP,PEPSICO INC,USD,79474.0000,0000077476,A,3020,302010,30,30201030,31211,2080
008539,20211231,2021,INDL,C,D,STD,EXC,EXELON CORP,USD,36347.0000,0001109357,A,5510,551010,55,55101010,22111,4911
008543,20211231,2021,INDL,C,D,STD,MO,ALTRIA GROUP INC,USD,21111.0000,0000764180,A,3020,302030,30,30203010,312230,2111
008599,20210331,2020,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,137.1760,0000078749,A,4510,451030,45,45103010,511210,7372
008606,20211231,2021,INDL,C,D,STD,PBI,PITNEY BOWES INC,USD,3673.5610,0000078814,A,2020,202010,20,20201060,333318,3579
008633,20210331,2020,INDL,C,D,STD,POLY,PLANTRONICS INC,USD,1727.6070,0000914025,A,4520,452010,45,45201020,334210,3661
008692,20211231,2021,INDL,C,D,STD,PCH,POTLATCHDELTIC CORP,USD,1337.4350,0001338749,A,6010,601010,60,60101080,321113,2421
008699,20210930,2021,INDL,C,D,STD,POWL,POWELL INDUSTRIES INC,USD,470.5590,0000080420,A,2010,201040,20,20104010,335313,3613
008762,20210630,2021,INDL,C,D,STD,PG,PROCTER & GAMBLE CO,USD,76118.0000,0000080424,A,3030,303010,30,30301010,325611,2840
008850,20211231,2021,INDL,C,D,STD,KWR,QUAKER HOUGHTON,USD,1761.1580,0000081362,A,1510,151010,15,15101050,324191,2990
008858,20210331,2020,INDL,C,D,STD,NXGN,NEXTGEN HEALTHCARE INC,USD,556.8210,0000708818,A,3510,351030,35,35103010,511210,7372
008864,20210930,2021,INDL,C,D,STD,ASYS,AMTECH SYSTEMS INC,USD,85.2050,0000720500,A,4530,453010,45,45301010,333242,3559
008867,20210331,2020,INDL,C,D,STD,QMCO,QUANTUM CORP,USD,349.5760,0000709283,A,4520,452020,45,45202030,334112,3572
008898,20210930,2021,FS,C,D,STD,RJF,RAYMOND JAMES FINANCIAL CORP,USD,9910.0000,0000720005,A,4020,402030,40,40203020,523120,6211
008898,20210930,2021,INDL,C,D,STD,RJF,RAYMOND JAMES FINANCIAL CORP,USD,9910.0000,0000720005,A,4020,402030,40,40203020,523120,6211
008901,20211231,2021,INDL,C,D,STD,RES,RPC INC,USD,864.9290,0000742278,A,1010,101010,10,10101020,213112,1389
